变量名,解释
avg3mou,过去三个月月平均通话时间（分钟）
avg3qty,过去三个月月平均通话次数
avg3rev,过去三个月月平均加纳话费
avg6mou,过去六个月月平均通话时间（分钟）
avg6qty,过去六个月月平均通话次数
avgmou,客户一生中月平均通话时间
avgqty,客户一生中月平均通话次数
callfwdv_Mean,过去一个月内平均呼叫转移次数
callfwdv_Range,过去一个月内平均呼叫转移范围
cc_mou_Mean,过去三个月平均每月回访客户电话时长（未四舍五入）
ccrndmou_Mean,平均客服电话通话时间
change_mou,月平均通话时长变化百分比（与过去三个月月平均通话时长相比）
change_rev,月平均收益变化百分比（与过去三个月月平均收益相比）
comp_dat_Mean,平均完成语音呼叫次数
comp_vce_Mean,平均完成网络呼叫次数
complete_Mean,平均完整通话时间（该客户主动挂断）
custcare_Mean,过去三年平均回访客户电话次数
da_Mean,平均电话查询服务呼叫次数
da_Range,电话查询服务呼叫次数范围
datovr_Mean,来自超出（套餐外）流量的平均收益
datovr_Range,来自超出（套餐外）流量的收益范围
drop_blk_Mean,过去三个月内平均阻止来电的次数
forgntvl,是否有境外旅行（dummy variable）
hnd_price,现有手机（电话设备）价格
inonemin_Mean,平均通话时长低于1分钟的呼入电话
iwylis_vce_Mean,平均内线无线语音通话次数
lor,居住时长（年）
mou_Mean,平均每月通话时长（分钟）
mou_cvce_Mean,平均完成语音通话时长（未四舍五入）
mou_opkv_Mean,非高峰时段平均语音通话时长（未四舍五入）
mou_peav_Mean,高峰时段平均语音通话时长（未四舍五入）
mou_rvce_Mean,平均接入语音通话时长（未四舍五入）
mouiwylisv_Mean,平均内线无线语音通话时长（未四舍五入）
mouowylisv_Mean,平均外线无线语音通话时长（未四舍五入）
opk_vce_Mean,非高峰时段平均语音通话次数
ovrmou_Mean,平均超出通话时长
ovrmou_Range,超出通话时长部分的范围
ovrrev_Mean,来自超出套餐使用的收益
ovrrev_Range,来自超出套餐使用的收益范围
owylis_vce_Mean,平均外线无线语音通话次数
peak_dat_Mean,高峰时段平均网络通话次数
peak_vce_Mean,高峰时段内线外线语音通话次数
pre_hnd_price,先前手机（电话设备）价格
recv_vce_Range,过去一个月平均语音留言时长（分钟）
rev_Mean,平均每月话费（扣费减去赠送话费）
rev_Range,收益范围（收费）
roam_Mean,平均漫游通话次数
roam_Range,漫游通话次数范围
threeway_Mean,平均三方通话次数
totcalls,客户总所有通话次数
totmou,客户总中所有通话时长（分钟）
totmrc_Range,总月平均循环收益范围
unan_dat_Mean,平均未接听网络通话次数
unan_dat_Range,未接听网络通话次数的范围
unan_vce_Mean,平均未接听语音通话次数
unan_vce_Range,未接听语音通话次数的范围
vceovr_Mean,来自超出（套餐外）语音通话使用的平均收益
vceovr_Range,来自超出（套餐外）语音通话使用的收益范围
overdue,曾经有过欠费停机
open_date,开户日期
MARITAL,婚姻状况
WRKWOMAN,是否有职场女性
PROPTYPE,房屋类型
PCOWNER,家里是否有电脑
KID0_2,家里是否有2岁或以下儿童
KID3_5,家里是否有3-5岁儿童
KID6_10,家里是否有6-10岁儿童
KID11_15,家里是否有11-15岁儿童
KID16_17,家里是否有16-17岁孩子
CAR_BUY,是否有汽车
buy_phone,在运营商处购买手机
minzu,民族
rating,等级
